training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,exploration/prev_button_states,exploration/button_states,exploration/prev_qpos,exploration/prev_qvel,exploration/qpos,exploration/qvel,exploration/control,exploration/time,exploration/success,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,step
155.25964,0.13358152,0.10961836,0.11158886,-154.02988,154.02988,1.1076595,-89.558334,-156.11497,-313.1443,0.841502,-1.3351364,49.552048,222.10149,0.7914124,0.21729954,0.28433225,-219.13708,219.13708,84.76606,-145.74565,-221.72514,-314.12094,0.0076985363864898685,4571.468935251236,0.375,0.375,-0.29094944952669877,-4.126856943306336e-05,-0.29086686952287405,0.0033419845129039195,4.731544724218184,25.249999999996884,0.0,550000.0,-2.0,-1128.0,500.0,3.469684600830078,550000
160.98082,0.16469686,0.10203703,0.111197546,-159.79575,159.79575,1.2156926,-95.23777,-161.93167,-377.97693,1.3581948,-1.0407574,43.67684,231.76768,0.82066154,0.20738272,0.26439577,-228.8732,228.8732,79.69108,-137.16124,-231.03976,-298.1781,0.008672124633789063,4788.272063493729,0.375,0.375,-0.30351049918543266,0.0004987291287401892,-0.30320845299074445,0.001498845271429201,-1.3570465399538978,25.249999999996884,0.0,575000.0,-2.0,-1116.0,500.0,3.9671854972839355,575000
165.44295,0.15644647,0.1157428,0.12217915,-164.12907,164.12907,1.3164911,-97.58877,-166.32161,-372.52896,1.474961,-1.3701129,46.022324,230.438,1.0168827,0.2237043,0.2850245,-227.18408,227.18408,64.28199,-138.68158,-229.72913,-307.77386,0.0067857270336151125,4957.915248632431,0.375,0.375,-0.30228529758843725,0.0002701678419065131,-0.3022245851114847,0.0007515663400630171,-1.2983853452008804,25.249999999996884,0.0,600000.0,-2.0,-1160.0,500.0,3.178053140640259,600000
173.02786,0.1428145,0.11964249,0.1298703,-171.68863,171.68863,1.0518473,-104.53034,-174.01697,-354.18137,0.96695775,-1.5570055,39.630047,232.68822,0.8740126,0.24168265,0.2934663,-229.39738,229.39738,89.90082,-141.52022,-231.95616,-304.62463,0.008241406259536743,5163.950415849686,0.375,0.375,-0.18408307205999958,0.0074762284702301505,-0.18381515080695673,0.009078347709889625,8.89377006416643,25.249999999996884,0.0,624764.0,-2.0,-1380.0,500.0,4.356171131134033,625000
161.37132,0.13574032,0.10605164,0.11656201,-160.17506,160.17506,1.0334474,-95.89463,-162.11768,-364.88574,0.676146,-0.80092776,35.85625,226.01672,0.90470916,0.24380384,0.29233453,-222.67398,222.67398,77.85104,-154.22789,-225.13074,-292.31897,0.00858250370979309,5378.513021469116,0.6875,0.6875,-0.1755221893767193,0.05758881193888029,-0.1874374393313703,-0.18153577542902385,5.992651870916276,25.249999999996884,0.0,649764.0,-5.0,-1932.0,500.0,4.488532781600952,650000
167.14723,0.17905469,0.10513075,0.11391208,-165.91687,165.91687,1.0726209,-97.01374,-167.95654,-374.5946,0.6903295,-0.79626834,29.71525,236.45947,0.7043061,0.24780138,0.29139715,-233.27715,233.27715,83.313934,-153.02509,-235.73532,-329.00656,0.009022895526885986,5604.085421800613,0.375,0.375,-0.07352781585420363,0.02583800182032371,-0.0722016708935843,0.022087760930340112,35.90418985838332,25.249999999996884,0.0,674764.0,-2.0,-1205.0,500.0,2.895325183868408,675000
158.80112,0.14491534,0.14505999,0.15328692,-157.2056,157.2056,1.5753224,-97.87387,-160.10889,-352.6638,0.905329,-1.0522072,44.587273,225.6954,0.6905192,0.23898084,0.3057893,-222.61508,222.61508,92.204575,-126.42931,-226.02676,-304.85077,0.008072534160614014,5805.898787021637,0.375,0.375,-0.18270189886105898,-0.001538678114860244,-0.1827201904737741,-0.0024757705357851684,-0.8160099686074992,25.249999999996884,0.0,699764.0,-2.0,-1141.0,500.0,4.6283087730407715,700000
162.97969,0.1363996,0.10574257,0.113484934,-161.78586,161.78586,0.81092525,-78.88061,-163.85747,-313.3639,0.8256315,-0.9134469,34.704304,229.6537,0.8454897,0.23437014,0.28978854,-226.46451,226.46451,73.96028,-152.86026,-228.96565,-327.1094,0.007972252197265625,6005.205106258392,0.375,0.375,-0.1919912647932075,-0.0009142168714716482,-0.1921207765927374,-0.001995720953742139,35.37978725040905,25.249999999996884,0.0,724764.0,-2.0,-1160.0,500.0,2.875981569290161,725000
160.16681,0.15282805,0.105410434,0.11308747,-158.95987,158.95987,1.2004269,-96.583,-161.02516,-391.81653,0.7111412,-1.026712,37.809166,227.84254,1.0892552,0.24588017,0.30458733,-224.2945,224.2945,94.36308,-149.91704,-227.09,-298.5021,0.008326880521774292,6213.377136468887,0.375,0.375,-0.08363089031722905,0.011746684758386862,-0.08659447406019936,-0.054661220850013875,35.86779916028638,25.249999999996884,0.0,749764.0,-2.0,-1165.0,500.0,3.2787740230560303,750000
175.9879,0.14097543,0.10720333,0.11660937,-174.77489,174.77489,0.8980817,-127.09998,-176.79666,-384.46786,0.6442465,-1.2762275,39.068737,237.2313,0.5936063,0.2299342,0.2931746,-234.33835,234.33835,67.08001,-154.0982,-236.91838,-320.2253,0.008515695152282714,6426.26952624321,0.375,0.375,-0.20456351939792766,0.018614851819716036,-0.20471797622509727,-0.02040885581967088,6.620717654877013,25.249999999996884,0.0,774764.0,-2.0,-1205.0,500.0,2.9042258262634277,775000
168.43065,0.14362529,0.10797544,0.11272328,-167.20728,167.20728,1.0943581,-113.64768,-169.30212,-373.97733,1.3487902,-0.7040521,45.75535,236.70447,0.61893564,0.2112453,0.26519302,-233.97308,233.97308,83.720276,-151.55469,-236.60475,-308.73096,0.007257568054199219,6607.708737611771,0.6875,0.375,-0.2130728584201386,0.1284529416647501,-0.20962254993602336,-0.00500766131176377,27.108487430064706,25.249999999996884,0.0,799764.0,-2.0,-1141.0,500.0,3.343010902404785,800000
162.99486,0.15154067,0.090990186,0.09482704,-161.93341,161.93341,0.9827846,-111.704765,-163.57098,-380.85742,1.3722397,-0.48522925,33.90069,238.43222,0.76696247,0.23111029,0.2717612,-235.35416,235.35416,87.942566,-158.22421,-237.44968,-316.2532,0.008318373126983643,6815.668076753616,0.375,0.375,-0.19386363510961963,-0.0074740075580148006,-0.1942295293358904,-0.005809972814132689,8.820992888113304,25.249999999996884,0.0,824764.0,-2.0,-1294.0,500.0,3.144301414489746,825000
166.95529,0.1851366,0.09403417,0.100895144,-165.82982,165.82982,0.8401526,-111.53686,-167.55412,-359.83914,0.8774141,-1.0750867,32.378,238.4048,1.3517522,0.24952476,0.28556642,-234.5578,234.5578,75.16907,-143.98238,-237.12958,-312.50076,0.006616146726608276,6981.071755170822,0.375,0.375,-0.1546334469866028,0.017938082163872555,-0.15393737140908545,0.010036129028656653,24.459719427838987,25.249999999996884,0.0,849764.0,-2.0,-1099.0,500.0,3.7405362129211426,850000
166.69131,0.15439652,0.10734415,0.11636362,-165.46347,165.46347,1.4400523,-111.98548,-167.39398,-348.9239,0.54219514,-0.82455134,31.28328,230.72783,0.68319756,0.2397064,0.28774253,-227.64757,227.64757,82.56353,-147.08768,-229.64667,-294.87344,0.008524791631698609,7194.191556453705,0.375,0.375,-0.08970053044074115,-0.0018153509904916254,-0.08813848181025004,0.03131455892694433,30.14278549356661,25.249999999996884,0.0,874764.0,-2.0,-1108.0,500.0,3.3394834995269775,875000
159.04187,0.10138559,0.11054313,0.11309206,-157.83505,157.83505,1.1784449,-93.620705,-159.89041,-359.083,0.5378341,-1.9161012,41.154083,231.15697,0.6031235,0.24148388,0.30685735,-228.139,228.139,79.00386,-148.12901,-230.22183,-300.7197,0.0072611616706848145,7375.720607042313,0.375,0.375,-0.1739370331280517,0.0031172253981401974,-0.17394043370352186,1.8364490025747104e-05,17.245303898783312,25.249999999996884,0.0,899764.0,-2.0,-1099.0,500.0,3.487107276916504,900000
161.0148,0.13293336,0.090127684,0.09561416,-159.98059,159.98059,0.9720001,-115.59906,-161.73853,-377.10608,0.62853265,-0.83153284,36.767853,231.214,0.63541406,0.23585263,0.28880286,-228.22006,228.22006,73.47591,-159.63612,-230.39627,-304.6763,0.008593828887939452,7590.566337585449,0.375,0.375,-0.14709697280407286,0.004779901270816722,-0.1469545144448393,0.0010930324888272641,18.15343802954799,25.249999999996884,0.0,924764.0,-2.0,-1161.0,500.0,3.073601722717285,925000
154.74542,0.18628912,0.09326655,0.100561656,-153.62646,153.62646,1.5762038,-107.93837,-155.39648,-330.5149,0.6782179,-1.4114225,36.92176,228.61823,1.6636127,0.2195158,0.27756545,-224.75946,224.75946,65.50078,-151.25299,-226.91379,-306.29666,0.006405617532730103,7750.706784486771,0.5,0.5,-0.14670720428851194,-0.025619207319778247,-0.14777987665154718,-0.020173842018903654,-0.6531565909560406,25.249999999996884,0.0,949764.0,-6.0,-2832.0,500.0,2.9197888374328613,950000
158.81691,0.19081037,0.093417056,0.1000669,-157.69193,157.69193,0.90651405,-101.54304,-159.39474,-383.0383,0.72031444,-0.6609457,28.268753,229.07419,1.0930551,0.22973004,0.29026243,-225.68384,225.68384,68.78967,-152.67339,-227.38144,-301.29642,0.007354599933624267,7934.571791648865,0.375,0.375,-0.18755394752207913,-0.0029516096134012486,-0.1879158209567506,-0.00593918161299017,-0.8055265802353134,25.249999999996884,0.0,974764.0,-2.0,-1201.0,500.0,3.0319454669952393,975000
162.15335,0.13707185,0.09319592,0.09967011,-161.08432,161.08432,0.7404921,-109.802345,-162.80476,-370.55164,0.43817872,-0.54582256,26.692768,232.66768,0.6476214,0.22366443,0.27554345,-229.78342,229.78342,78.08023,-142.48073,-232.0274,-297.5297,0.006718581390380859,8102.536335229874,0.5,0.5,-0.13239837019039682,0.002659258423839033,-0.13208783582213973,0.004806416958421215,15.196934899472595,25.249999999996884,0.0,999764.0,-6.0,-1946.0,500.0,3.2978427410125732,1000000
