training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,exploration/prev_button_states,exploration/button_states,exploration/prev_qpos,exploration/prev_qvel,exploration/qpos,exploration/qvel,exploration/control,exploration/time,exploration/success,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,step
68.51003,0.060123917,0.029195458,0.030144487,-68.15795,68.15795,0.106712624,-37.02221,-68.70274,-137.7739,0.31690532,-0.24010739,9.240503,89454.62,89370.71,0.91247284,0.26331314,-74.78259,74.78259,38.33957,-46.176918,-74.99892,-104.87241,0.006215830020904541,2766.3676126003265,0.5,0.5,-0.03419966976878661,-0.05400939931443408,-0.03621581187859677,-0.033291979998745225,35.746802305456,37.59999999999999,0.0,399750.0,-1.0,-769.0,750.0,5.078342914581299,400000
68.902695,0.061053928,0.027097894,0.028366089,-68.57066,68.57066,0.17513423,-44.95177,-69.10266,-133.82239,0.38489735,-0.52030206,12.071466,94347.984,94265.68,0.8250389,0.25974283,-74.058075,74.058075,60.081562,-48.680706,-74.208405,-110.82655,0.007216893453598022,2946.7899599075317,0.5,0.5,-0.19720575004853436,0.000890468589870333,-0.19781648575233235,-0.012348543726534968,15.707723892152904,37.59999999999999,0.0,424500.0,-1.0,-754.0,750.0,6.255065202713013,425000
68.337906,0.054393865,0.025850704,0.027650818,-68.025,68.025,0.1298146,-42.83151,-68.53978,-124.74891,0.22738653,-0.25487167,7.69901,122919.07,122835.125,0.7901827,0.29074502,-76.050644,76.050644,17.231861,-53.99584,-76.230835,-106.45576,0.005845766935348511,3092.934143304825,1.0,1.0,-0.3718922638236903,0.001200664735717591,-0.3718530630777071,-0.0006238997028450181,23.259436947835606,37.59999999999999,0.0,450000.0,-2.0,-1433.0,750.0,5.6224987506866455,450000
69.17865,0.06577174,0.023126919,0.023153374,-68.88161,68.88161,0.06515998,-32.969048,-69.29822,-134.52325,0.10649546,-0.16494346,5.4016643,105585.76,105500.44,1.2925549,0.32921892,-72.395294,72.395294,51.188217,-48.737823,-72.39368,-107.782906,0.006969305200576782,3267.166784763336,0.5,0.5,-0.026968172537751176,0.020563301714582153,-0.026141949114871804,0.018632053700752427,35.86581532366996,37.59999999999999,0.0,474750.0,-1.0,-757.0,750.0,3.643115997314453,475000
73.49568,0.056641903,0.01780942,0.018326962,-73.26095,73.26095,0.054429818,-54.598145,-73.594284,-123.46806,0.14603794,-0.18210104,6.0966377,167823.0,167735.34,0.9153103,0.29950395,-78.499825,78.499825,49.48697,-60.0154,-78.54584,-119.90999,0.0057908141613006595,3411.9371495246887,0.5,0.5,-0.2955138793654573,-0.0071540194848061685,-0.29571391429095006,-0.0043745931227113415,-1.1877112872644682,37.59999999999999,0.0,499500.0,-1.0,-758.0,750.0,4.984586477279663,500000
70.61907,0.05763172,0.02404339,0.026356151,-70.32101,70.32101,0.11601383,-48.683064,-70.77991,-110.664406,0.24281597,-0.18595089,8.582024,155464.22,155379.83,0.8730543,0.27273864,-75.660065,75.660065,12.933063,-56.275524,-75.639984,-100.521614,0.00703891167640686,3587.909952878952,0.5,0.5,-0.07540120140015445,-0.0005626543312360435,-0.07541426148707857,-0.0007388309936139626,35.71334709519398,37.59999999999999,0.0,525000.0,-1.0,-758.0,750.0,3.740628719329834,525000
71.90329,0.06732371,0.022918886,0.02436728,-71.60678,71.60678,0.11381268,-49.757492,-72.04271,-107.50052,0.24576063,-0.3046626,10.000045,195865.06,195769.8,1.3616467,0.31945768,-81.65688,81.65688,13.411657,-59.423374,-81.473114,-120.3937,0.0057624221420288085,3731.9705193042755,0.5,0.5,-0.12641672687671582,-0.0007045222626545837,-0.12636976965308583,0.001107717952942733,35.538468166448176,37.59999999999999,0.0,549750.0,-1.0,-765.0,750.0,4.463064908981323,550000
73.95643,0.07545797,0.023656037,0.025941452,-73.64441,73.64441,0.14126226,-45.45157,-74.11146,-157.8809,0.36210826,-0.45009986,11.812639,212760.3,212674.95,0.9610433,0.33100167,-75.736,75.736,83.68645,-48.88434,-75.54878,-117.77871,0.007259778642654419,3913.464996576309,0.5,0.5,-0.28531466383463283,-0.002742655576409754,-0.2850843374961235,0.002827327229832987,34.792598480651456,37.59999999999999,0.0,574500.0,-3.0,-2112.0,750.0,4.345339298248291,575000
74.71885,0.056628257,0.01844213,0.019051818,-74.4778,74.4778,0.06918739,-57.259686,-74.82187,-111.121,0.13513568,-0.12511848,5.8729033,303610.12,303518.44,0.8646679,0.30174586,-83.03528,83.03528,55.23143,-69.214424,-83.054665,-111.05836,0.005755252552032471,4057.3463203907013,0.5,0.5,-0.33017821915747136,0.0007137337324965605,-0.330123944958413,0.000786773995189075,34.7948513132889,37.59999999999999,0.0,600000.0,-1.0,-820.0,750.0,4.042917251586914,600000
79.61437,0.044152748,0.021772403,0.022847068,-79.35249,79.35249,0.08311775,-45.10984,-79.75927,-150.39896,0.12392871,-0.1703064,6.367549,447118.0,447021.25,1.1970465,0.28513652,-84.78255,84.78255,41.356514,-57.782906,-84.8,-111.74396,0.007237300357818603,4238.278840303421,0.5,0.5,-0.2922569411717375,-0.00037328975983153483,-0.2922453370228995,0.00022445170560258468,34.76991025945183,37.59999999999999,0.0,624750.0,-1.0,-766.0,750.0,4.410644054412842,625000
