training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,exploration/prev_qpos,exploration/prev_qvel,exploration/qpos,exploration/qvel,exploration/control,exploration/time,exploration/success,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,step
226.69545,0.051724922,0.049901485,0.051110514,-226.14471,226.14471,0.5012774,-158.43915,-227.18732,-292.32135,1.126541,-1.2410539,39.287395,255.8593,0.5361781,0.096002944,0.10936456,-254.3631,254.3631,50.661224,-158.13957,-254.77698,-291.84567,0.005161826171875,1371.9752576351166,-0.07029707070130005,0.08597921690078988,-0.0652508127568205,0.07992517997800272,30.018972087937236,25.099999999996967,0.0,275000.0,-2.0,-1000.0,500.0,2.3034608364105225,275000
226.55162,0.06842355,0.045820426,0.047078222,-226.025,226.025,0.31683755,-149.86205,-226.96468,-290.75616,0.97528934,-0.84594655,37.664265,247.00328,0.6342492,0.09321796,0.10777419,-245.43686,245.43686,48.96599,-152.60992,-245.49496,-284.54703,0.0045253384399414065,1485.1087267398834,-0.16088475036361816,0.009868510361960596,-0.1602292162703884,0.012752576905099055,31.645455834580215,25.099999999996967,0.0,300000.0,-2.0,-1000.0,500.0,2.9177584648132324,300000
227.4116,0.04644782,0.043981712,0.04469732,-226.92534,226.92534,0.27585137,-157.33488,-227.82452,-294.93875,0.42019457,-0.41389683,22.328247,254.32649,0.5998518,0.09296298,0.100930534,-252.79701,252.79701,39.827503,-157.61209,-252.7399,-295.66653,0.005300383386611938,1617.618320465088,-0.18911689596584608,-0.0073793195979447845,-0.1893918118162743,-0.005320901926641621,-0.8685362984511731,25.099999999996967,0.0,325000.0,-2.0,-1000.0,500.0,2.6926636695861816,325000
235.79916,0.062281966,0.04440895,0.045340087,-235.29279,235.29279,0.5161296,-143.88281,-236.18146,-311.61264,0.9430614,-1.821363,38.11609,265.70456,1.0395237,0.09173806,0.11577969,-263.74765,263.74765,59.805923,-144.79526,-263.8667,-299.73193,0.004560248355865479,1731.6245408058167,0.10828371517539269,0.03381729072111368,0.11007879050191109,0.03413990252462188,36.27230468297903,25.099999999996967,0.0,350000.0,-2.0,-1000.0,500.0,3.061636447906494,350000
223.46303,0.05077535,0.042757988,0.044529326,-222.98468,222.98468,0.2691043,-165.77611,-223.8812,-300.9373,0.4458618,-0.4814516,18.046246,263.66306,5.552536,0.12409703,0.10533686,-256.86954,256.86954,46.84997,-185.81804,-257.057,-305.7016,0.005215276536941528,1862.0064642429352,-0.13729323675281943,-0.029219670748498253,-0.13843921654908536,-0.021387535242293063,-0.9850182660084401,25.099999999996967,0.0,375000.0,-2.0,-1000.0,500.0,2.243757486343384,375000
226.49898,0.074262135,0.0378634,0.039562147,-226.04608,226.04608,0.4387805,-179.8445,-226.81212,-313.6593,0.7427239,-0.8499547,40.079563,261.59018,4.46137,0.13700692,0.1296591,-255.75873,255.75873,26.03999,-177.159,-255.88345,-288.5052,0.004585107936859131,1976.6341714859009,0.07214937192560021,-0.014496923698736687,0.07123278013126826,-0.016084554422611183,-0.19919524295489652,25.099999999996967,0.0,400000.0,-2.0,-1000.0,500.0,2.176785945892334,400000
233.84105,0.06564957,0.03714928,0.038227893,-233.4039,233.4039,0.24078853,-173.9531,-234.14386,-311.8379,0.56210154,-0.61885303,18.844671,270.25714,4.703312,0.121079735,0.11330163,-264.34302,264.34302,37.33053,-193.19615,-264.45612,-300.71082,0.005370558805465699,2110.898152589798,-0.06951415621451684,-0.0014615991788286366,-0.06961488001633256,-0.001913646590520411,-0.5284206170772021,25.099999999996967,0.0,425000.0,-2.0,-1000.0,500.0,2.2568161487579346,425000
246.99106,0.051856495,0.033453163,0.034192454,-246.60468,246.60468,0.2141273,-186.78658,-247.26776,-298.35333,0.2958587,-0.31709105,14.993102,295.91833,24.157722,0.13923739,0.12049104,-270.36823,270.36823,33.61505,-181.12077,-270.47897,-310.82132,0.004423811426162719,2221.4934475421906,-0.06905601738450594,-0.001068472400596057,-0.06916064695675299,-0.0017857180907423571,-0.5454278681623902,25.099999999996967,0.0,450000.0,-2.0,-1000.0,500.0,2.0875890254974365,450000
247.71086,0.06243142,0.037292328,0.038536757,-247.27551,247.27551,0.23744461,-191.1838,-248.04231,-304.05566,0.7635324,-0.6679646,25.046154,326.89395,44.060413,0.1595872,0.12111435,-281.23767,281.23767,33.98892,-205.24008,-281.4165,-320.71466,0.00525675983428955,2352.912456512451,0.06559943632400629,-0.02774273146802015,0.06419005456998679,-0.03120310961700714,35.97721656185246,25.099999999996967,0.0,475000.0,-2.0,-1000.0,500.0,2.396383762359619,475000
251.74654,0.08966077,0.033668555,0.035179313,-251.32019,251.32019,0.26537982,-153.81192,-251.98254,-328.36597,0.44225386,-0.8520504,22.249546,304.0451,19.851568,0.27266124,0.1449554,-281.46692,281.46692,36.08931,-196.55019,-281.6774,-320.79727,0.004803278360366822,2472.9944274425507,-0.13551886357689025,0.002550832250484996,-0.1353732186799113,0.0028521788151054726,-0.6440737569931155,25.099999999996967,0.0,500000.0,-2.0,-1000.0,500.0,3.0063109397888184,500000
